SecurityCode,StockName
030442,大同統一48購03
030443,南亞科統一45購01
030444,聯發科統一48購01
030445,志聖統一43購02
030446,志聖統一44購03
030447,一詮統一44購02
030448,一詮統一44購03
030449,一詮統一45購01
03044P,聯電國票41售02
030450,一詮統一47購01
030451,一詮統一47購02
030452,國產統一47購01
030453,冠德統一47購01
030454,華固統一47購01
030455,陽明統一44購03
030456,萬海統一44購02
030457,奇鋐統一44購05
030458,奇鋐統一47購01
030459,欣興統一44購02
03045P,臺股指國票3C售06
030460,嘉澤統一44購05
030461,碩天統一44購03
030462,日月光統一44購02
030463,崇越統一44購02
030464,達發統一43購01
030465,達發統一44購02
030466,達發統一44購03
030467,至上統一44購04
030468,T50反1元富3A購01
030469,中石化元富3A購01
03046P,臺股指國票41售02
030470,東元元富3A購01
030471,大亞元富3B購03
030472,台達電元富3A購03
030473,精英元富3A購01
030474,精英元富3A購02
030475,大同元富3A購07
030476,大同元富41購02
030477,大同元富44購01
030478,欣興元富3B購02
030479,弘憶股元富3A購01
03047P,T50正2元大41售05
03047X,元展44
030480,辛耘元富3A購05
030481,樺漢元富3A購01
030482,緯穎元富3A購03
030483,台灣50凱基3B購08
030484,T50反1凱基44購01
030485,滬深2X凱基3C購02
030486,東元凱基3A購06
030487,東元凱基3C購01
030488,中宇凱基42購01
030489,華電凱基44購01
03048P,宏碁元大3C售22
030490,華榮凱基44購01
030491,大亞凱基47購01
030492,大亞凱基47購02
030493,大亞凱基4C購01
030494,大亞凱基4C購02
030495,宏泰凱基3A購01
030496,宏泰凱基3C購01
030497,宏泰凱基42購01
030498,大山凱基3A購03
030499,川湖凱基42購02
03049P,晶碩元大3C售01
03049X,元展46
030500,川湖凱基42購03
030501,台積電凱基3A購28
030502,台積電凱基3C購13
030503,台積電凱基42購08
030504,海悅凱基43購01
030505,大同凱基4C購01
030506,大同凱基4C購02
030507,大同凱基4C購03
030508,億光凱基3A購02
030509,國產凱基3B購01
03050P,世紀鋼元大3C售26
03050X,元展47
030510,冠德凱基3A購02
030511,華固凱基3B購01
030512,長榮凱基3C購07
030513,亞航凱基3A購01
030514,漢翔凱基44購01
030515,玉山金凱基42購01
030516,新光金凱基3C購01
030517,華立凱基3C購02
030518,奇鋐凱基41購04
030519,奇鋐凱基44購02
03051P,臺股指法興42售03
030520,德律凱基43購01
030521,欣興凱基3C購01
030522,蔚華科凱基3A購03
030523,京鼎凱基3B購04
030524,嘉澤凱基3B購02
030525,辛耘凱基3A購06
030526,上緯控凱基44購01
030527,崇越凱基3A購04
030528,隆大凱基3A購01
030529,樺漢凱基3B購04
03052P,臺股指法興42售04
03052X,元展49
030530,達發凱基3A購04
030531,達發凱基3C購02
030532,視陽凱基3A購03
030533,天虹凱基42購01
030534,至上凱基3A購04
030535,台汽電凱基3C購01
030536,電子類凱基3A購04
030537,電子類凱基41購01
030538,上証2X元大3B購03
030539,上証2X元大41購02
03053P,臺股指法興42售05
030540,東元元大3A購07
030541,東元元大3A購08
030542,和大元大3A購02
030543,華電元大3A購03
030544,華榮元大3A購08
030545,大亞元大3A購12
030546,大亞元大3C購04
030547,大亞元大41購01
030548,美時元大3A購17
030549,鴻海元大3B購11
03054P,臺股指法興42售06
030550,鴻海元大3B購12
030551,鴻海元大3B購13
030552,國巨元大3A購18
030553,國巨元大3A購19
030554,華泰元大3A購08
030555,華泰元大3A購09
030556,華泰元大41購01
030557,台積電元大3A購38
030558,台積電元大3B購06
030559,台積電元大41購14
03055P,臺股指法興42售07
030560,海悅元大3A購03
030561,宏碁元大3A購02
030562,宏碁元大41購01
030563,敬鵬元大3A購02
030564,金像電元大3B購01
030565,大同元大3A購20
030566,大同元大3C購03
030567,大同元大41購05
030568,微星元大3A購01
030569,微星元大3A購02
03056P,臺股指富邦3C售14
030570,一詮元大3A購04
030571,一詮元大3A購05
