SecurityCode,IndustryCode,CompanyName,SpecialShares,NormalShares,PrivateShares
2617,15,台灣航業股份有限公司,0,417294487,0
2618,15,長榮航空股份有限公司,0,5400444335,0
2630,15,亞洲航空股份有限公司,0,209438204,0
2633,15,台灣高速鐵路股份有限公司,0,5628293058,3000000000
2634,15,漢翔航空工業股份有限公司,0,941867101,0
2636,15,台驊國際控股股份有限公司,0,141835230,0
2637,15,慧洋海運股份有限公司,0,746409199,0
2642,15,台灣宅配通股份有限公司,0,95467000,0
2645,15,長榮航太科技股份有限公司,0,374570962,0
2701,16,萬華企業股份有限公司,0,449967838,0
2702,16,華園飯店股份有限公司,0,156613249,0
2704,16,國賓大飯店股份有限公司,0,366923343,0
2705,16,六福開發股份有限公司,0,191312830,4776200
2706,16,第一華僑大飯店股份有限公司,0,499998346,0
2707,16,晶華國際酒店股份有限公司,0,127403238,0
2712,16,遠雄悅來大飯店股份有限公司,0,105000000,0
2722,16,夏都國際開發股份有限公司,0,143169696,0
2723,16,開曼美食達人股份有限公司,0,180000000,0
2727,16,王品餐飲股份有限公司,0,84451109,0
2731,16,雄獅旅行社股份有限公司,0,93277739,0
2739,16,寒舍餐旅管理顧問股份有限公司,0,91526000,0
2748,16,雲品國際酒店股份有限公司,0,105778740,0
2753,16,八方雲集國際股份有限公司,0,66644796,0
2762,37,世界健身股份有限公司,0,112500000,0
2801,17,彰化商業銀行股份有限公司,0,11766046253,0
2812,17,台中商業銀行股份有限公司,0,6021625921,0
2816,17,旺旺友聯產物保險股份有限公司,0,223608000,0
2820,17,中華票券金融股份有限公司,0,1342960000,0
2832,17,台灣產物保險股份有限公司,0,253540280,0
2834,17,臺灣中小企業銀行股份有限公司,0,9718061849,0
2836,17,高雄銀行股份有限公司,40000000,1839916985,0
2838,17,聯邦商業銀行股份有限公司,200000000,4340551779,0
2845,17,遠東國際商業銀行股份有限公司,0,4865284731,0
2849,17,安泰商業銀行股份有限公司,0,1957609349,1063113402
2850,17,新光產物保險股份有限公司,0,315963300,0
2851,17,中央再保險股份有限公司,0,800388750,0
2852,17,第一產物保險股份有限公司,0,301163784,0
2855,17,統一綜合證券股份有限公司,0,1601414478,0
2867,17,三商美邦人壽保險股份有限公司,0,5899501044,0
2880,17,華南金融控股股份有限公司,0,13916965089,0
2881,17,富邦金融控股股份有限公司,1599990000,14007364952,0
2882,17,國泰金融控股股份有限公司,1533300000,14669210128,0
2883,17,凱基金融控股股份有限公司,1582142374,16974847040,0
2884,17,玉山金融控股股份有限公司,0,16174000000,0
2885,17,元大金融控股股份有限公司,0,13331149946,0
2886,17,兆豐金融控股股份有限公司,0,14833378282,0
2887,17,台新新光金融控股股份有限公司,4491088552,24866399230,0
2889,17,國票金融控股股份有限公司,0,3633563471,0
2890,17,永豐金融控股股份有限公司,10000000,14492322275,0
2891,17,中國信託金融控股股份有限公司,499990000,19677816903,0
2892,17,第一金融控股股份有限公司,0,14379468650,0
2897,17,王道商業銀行股份有限公司,250000000,2805357878,0
2901,18,欣欣大眾市場股份有限公司,0,73043283,0
2903,18,遠東百貨股份有限公司,0,1416940589,0
2904,20,匯僑股份有限公司,0,77834432,0
2905,18,三商投資控股股份有限公司,0,1110371703,0
2906,18,高林實業股份有限公司,0,209116648,0
2908,18,特力股份有限公司,0,509887558,0
2910,18,統領百貨股份有限公司,0,175403000,0
2911,18,麗嬰房股份有限公司,0,105125999,5400000
2912,18,統一超商股份有限公司,0,1039622255,0
2913,18,台灣農林股份有限公司,0,790000000,83250000
2915,18,潤泰全球股份有限公司,0,1104318772,0
2923,14,鼎固控股有限公司,0,1740296982,0
2929,18,淘帝國際控股有限公司,0,109493838,0
2939,18,永邑國際集團股份有限公司,0,45548665,0
